uei,start_date,end_date,duration_days,latitude,longitude,state,district,severity,area_affected_sqkm,main_cause,description,event_source
FLOOD-IND-0001,2024-05-02,2024-05-28,26,20.548042,73.708596,Gujarat,,Moderate,154.13,Urban Flooding,Flood situation in Gujarat affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0002,2023-11-04,2023-11-22,18,27.927516,94.490155,Assam,,Moderate,104.89,Urban Flooding,Severe flooding reported in Assam region,MODIS
FLOOD-IND-0003,2021-12-27,2022-01-18,22,28.229626,82.452978,Uttar Pradesh,,Moderate,184.87,River Overflow,Emergency declared in Uttar Pradesh due to flooding,News Reports
FLOOD-IND-0004,2024-07-20,2024-08-01,12,27.289813,94.619736,Assam,,Moderate,116.02,Cyclone,Flood event in Assam caused by cyclone,Landsat-8
FLOOD-IND-0005,2021-02-13,2021-03-15,30,24.685626,84.281244,Jharkhand,,Moderate,59.76,Dam Release,Water logging and flooding in Jharkhand due to dam release,News Reports
FLOOD-IND-0006,2021-04-14,2021-04-25,11,29.994237,79.845232,Uttarakhand,,Severe,886.29,Urban Flooding,Flood event in Uttarakhand caused by urban flooding,MODIS
FLOOD-IND-0007,2023-10-21,2023-11-07,17,17.40106,74.34065,Karnataka,,High,203.47,Coastal Storm Surge,Water logging and flooding in Karnataka due to coastal storm surge,Sentinel-2 Optical
FLOOD-IND-0008,2021-05-27,2021-06-06,10,24.361238,95.688309,Assam,,Moderate,172.22,Heavy Monsoon Rainfall,Emergency declared in Assam due to flooding,Sentinel-1 SAR
FLOOD-IND-0009,2020-10-13,2020-11-07,25,30.307951,82.160087,Uttar Pradesh,,Severe,769.12,Prolonged Rainfall,Flood situation in Uttar Pradesh affecting multiple areas,Ground Reports
FLOOD-IND-0010,2020-01-19,2020-01-29,10,33.060374,78.403387,Himachal Pradesh,,High,388.19,River Overflow,Water logging and flooding in Himachal Pradesh due to river overflow,Landsat-8
FLOOD-IND-0011,2020-12-30,2020-12-31,1,29.549838,69.943527,Rajasthan,,Catastrophic,4287.76,Cloud Burst,Water logging and flooding in Rajasthan due to cloud burst,Landsat-8
FLOOD-IND-0012,2020-01-31,2020-02-18,18,25.452785,87.223286,Bihar,,High,393.43,Cloud Burst,Emergency declared in Bihar due to flooding,Sentinel-1 SAR
FLOOD-IND-0013,2022-11-25,2022-12-22,27,24.701154,85.298167,Bihar,,Moderate,67.89,Coastal Storm Surge,Water logging and flooding in Bihar due to coastal storm surge,Landsat-8
FLOOD-IND-0014,2021-09-06,2021-09-07,1,30.588303,80.325991,Uttarakhand,,Severe,1153.03,Coastal Storm Surge,Water logging and flooding in Uttarakhand due to coastal storm surge,Sentinel-1 SAR
FLOOD-IND-0015,2021-01-08,2021-02-03,26,26.670079,81.523289,Madhya Pradesh,,Low,34.39,Dam Release,Severe flooding reported in Madhya Pradesh region,Ground Reports
FLOOD-IND-0016,2022-02-16,2022-03-18,30,25.859378,80.794438,Uttar Pradesh,,High,230.12,Flash Flood,Emergency declared in Uttar Pradesh due to flooding,Sentinel-1 SAR
FLOOD-IND-0017,2022-02-07,2022-02-13,6,25.068021,82.543274,Madhya Pradesh,,High,356.08,Heavy Monsoon Rainfall,Emergency declared in Madhya Pradesh due to flooding,Sentinel-2 Optical
FLOOD-IND-0018,2021-11-28,2021-12-13,15,22.034197,83.33412,Chhattisgarh,,Low,33.87,Prolonged Rainfall,Severe flooding reported in Chhattisgarh region,Sentinel-1 SAR
FLOOD-IND-0019,2021-10-23,2021-11-07,15,27.546796,82.762018,Uttar Pradesh,,Severe,821.84,Urban Flooding,Severe flooding reported in Uttar Pradesh region,Sentinel-1 SAR
FLOOD-IND-0020,2021-05-30,2021-06-06,7,30.185081,74.052497,Punjab,,High,390.69,River Overflow,Flood event in Punjab caused by river overflow,Ground Reports
FLOOD-IND-0021,2023-06-18,2023-07-13,25,17.674981,77.67027,Karnataka,,Moderate,69.45,Dam Release,Severe flooding reported in Karnataka region,Sentinel-1 SAR
FLOOD-IND-0022,2020-01-21,2020-01-28,7,14.710843,82.939058,Andhra Pradesh,,Low,30.62,Urban Flooding,Severe flooding reported in Andhra Pradesh region,Ground Reports
FLOOD-IND-0023,2021-11-21,2021-12-14,23,29.455811,76.551894,Haryana,,Moderate,78.72,River Overflow,Emergency declared in Haryana due to flooding,News Reports
FLOOD-IND-0024,2020-10-05,2020-10-26,21,13.400088,77.1212,Karnataka,,Moderate,57.6,Heavy Monsoon Rainfall,Water logging and flooding in Karnataka due to heavy monsoon rainfall,MODIS
FLOOD-IND-0025,2020-08-15,2020-09-11,27,32.018799,76.081962,Himachal Pradesh,,High,226.09,River Overflow,Water logging and flooding in Himachal Pradesh due to river overflow,News Reports
FLOOD-IND-0026,2024-07-20,2024-08-05,16,31.074885,78.035078,Himachal Pradesh,,Severe,764.54,Dam Release,Severe flooding reported in Himachal Pradesh region,Ground Reports
FLOOD-IND-0027,2024-05-10,2024-06-05,26,23.408479,85.951209,West Bengal,,Low,27.24,River Overflow,Severe flooding reported in West Bengal region,Sentinel-2 Optical
FLOOD-IND-0028,2022-03-08,2022-04-04,27,9.101013,75.797871,Kerala,,High,373.11,River Overflow,Severe flooding reported in Kerala region,Sentinel-1 SAR
FLOOD-IND-0029,2024-06-26,2024-07-17,21,24.156864,94.739937,Assam,,High,457.66,Glacial Lake Outburst,Flood event in Assam caused by glacial lake outburst,News Reports
FLOOD-IND-0030,2024-10-26,2024-11-21,26,22.029475,82.58249,Madhya Pradesh,,Low,10.85,Heavy Monsoon Rainfall,Water logging and flooding in Madhya Pradesh due to heavy monsoon rainfall,News Reports
FLOOD-IND-0031,2021-06-19,2021-07-16,27,11.209079,76.118317,Kerala,,Low,8.88,Dam Release,Flood event in Kerala caused by dam release,News Reports
FLOOD-IND-0032,2021-02-18,2021-02-20,2,8.460696,79.875659,Tamil Nadu,,Moderate,184.13,Cyclone,Severe flooding reported in Tamil Nadu region,Landsat-8
FLOOD-IND-0033,2020-05-11,2020-06-09,29,29.037127,84.258594,Uttar Pradesh,,Moderate,81.41,Dam Release,Emergency declared in Uttar Pradesh due to flooding,MODIS
FLOOD-IND-0034,2020-10-31,2020-11-10,10,16.182504,80.766815,Maharashtra,,High,255.52,Heavy Monsoon Rainfall,Flood event in Maharashtra caused by heavy monsoon rainfall,Landsat-8
FLOOD-IND-0035,2023-08-02,2023-08-25,23,28.407071,74.730149,Haryana,,High,274.98,Heavy Monsoon Rainfall,Emergency declared in Haryana due to flooding,Ground Reports
FLOOD-IND-0036,2021-02-10,2021-03-01,19,11.470522,76.601807,Kerala,,Moderate,63.65,Coastal Storm Surge,Water logging and flooding in Kerala due to coastal storm surge,News Reports
FLOOD-IND-0037,2023-08-27,2023-09-23,27,20.224906,85.098697,Odisha,,Catastrophic,2323.22,Cyclone,Severe flooding reported in Odisha region,Sentinel-2 Optical
FLOOD-IND-0038,2023-06-27,2023-07-06,9,25.219024,95.983688,Assam,,High,234.01,River Overflow,Emergency declared in Assam due to flooding,Landsat-8
FLOOD-IND-0039,2023-10-07,2023-10-26,19,16.931163,77.665644,Karnataka,,Low,24.54,Flash Flood,Emergency declared in Karnataka due to flooding,Sentinel-1 SAR
FLOOD-IND-0040,2022-10-12,2022-11-06,25,30.519626,77.677656,Himachal Pradesh,,Severe,561.02,Heavy Monsoon Rainfall,Flood event in Himachal Pradesh caused by heavy monsoon rainfall,News Reports
FLOOD-IND-0041,2021-03-27,2021-04-21,25,21.502392,86.219064,West Bengal,,Moderate,61.6,Heavy Monsoon Rainfall,Flood situation in West Bengal affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0042,2021-10-05,2021-10-11,6,26.580609,88.31042,West Bengal,,Low,13.76,Coastal Storm Surge,Water logging and flooding in West Bengal due to coastal storm surge,News Reports
FLOOD-IND-0043,2023-12-13,2023-12-23,10,25.011629,82.109048,Madhya Pradesh,,Moderate,135.22,Urban Flooding,Emergency declared in Madhya Pradesh due to flooding,Sentinel-1 SAR
